Task ID,Occupation,Task,importance,gpt_4o_score,gpt_4o_confidence,gpt_4o_reasoning
20186,Personal Financial Advisors,Explain to clients the personal financial advisor's responsibilities and the types of services to be provided.,4.0,2,high,"While AI can assist in providing information, the task requires interpersonal trust and understanding of client-specific needs, which are best handled by humans."
20187,Personal Financial Advisors,Investigate available investment opportunities to determine compatibility with client financial plans.,3.96,3,medium,"AI can analyze and match investment opportunities to client profiles, but human advisors are needed for personalized judgment and trust-building."
12914,Personal Financial Advisors,"Guide clients in the gathering of information, such as bank account records, income tax returns, life and disability insurance records, pension plans, or wills.",3.83,4,high,"AI can efficiently gather and organize financial documents, though human oversight is needed for personalized advice and complex judgment."
20188,Personal Financial Advisors,Monitor financial market trends to ensure that client plans are responsive.,3.58,4,high,"AI can effectively analyze and monitor financial market trends, providing real-time insights and alerts, while humans review and adjust client plans based on these insights."
20185,Personal Financial Advisors,Recruit and maintain client bases.,3.5,2,medium,"While AI can assist in analyzing financial data and suggesting strategies, building and maintaining client relationships requires interpersonal trust and nuanced understanding of individual client needs."
12916,Personal Financial Advisors,"Meet with clients' other advisors, such as attorneys, accountants, trust officers, or investment bankers, to fully understand clients' financial goals and circumstances.",3.4,2,medium,"This task requires interpersonal trust and nuanced understanding of complex financial situations, which AI can assist with but not fully automate."
12917,Personal Financial Advisors,Devise debt liquidation plans that include payoff priorities and timelines.,3.35,3,medium,"AI can analyze financial data and suggest debt liquidation plans, but human advisors are needed for personalized judgment and ethical considerations."
12918,Personal Financial Advisors,"Open accounts for clients, and disburse funds from accounts to creditors as agent for clients.",3.85,4,high,"AI can efficiently handle the routine processes of opening accounts and disbursing funds, with human oversight for compliance and exceptions."
19570,Personal Financial Advisors,"Inform clients about tax benefits, government rebates, or other financial benefits of alternative-fuel vehicle purchases or energy-efficient home construction, improvements, or remodeling.",2.75,3,medium,"AI can efficiently process and provide information on tax benefits and rebates, but human advisors are still needed for personalized advice and trust-building."
19571,Personal Financial Advisors,"Recommend environmentally responsible investments, such as cleantech, alternative energy, or conservation technologies, companies, or funds.",2.56,3,medium,"AI can analyze and recommend environmentally responsible investments based on data, but human advisors are needed for personalized advice and ethical considerations."
12919,Personal Financial Advisors,"Conduct seminars or workshops on financial planning topics, such as retirement planning, estate planning, or the evaluation of severance packages.",2.07,3,medium,"AI can handle routine presentation and data analysis tasks, but human advisors are needed for personalized interaction and addressing specific audience questions."
21605,Financial Risk Specialists,"Analyze areas of potential risk to the assets, earning capacity, or success of organizations.",,3,medium,"AI can handle data analysis and pattern recognition, but human expertise is needed for nuanced judgment and understanding of complex financial contexts."
21606,Financial Risk Specialists,Analyze new legislation to determine impact on risk exposure.,,3,medium,"AI can assist in analyzing legislative text and identifying potential risk factors, but human expertise is needed for nuanced interpretation and judgment."
21607,Financial Risk Specialists,"Conduct statistical analyses to quantify risk, using statistical analysis software or econometric models.",,4,high,"AI can effectively conduct statistical analyses and use econometric models to quantify risk, with humans primarily needed for oversight and interpretation of complex scenarios."
21608,Financial Risk Specialists,Confer with traders to identify and communicate risks associated with specific trading strategies or positions.,,3,medium,"AI can analyze data and identify risks, but human judgment is needed for nuanced communication and decision-making."
21609,Financial Risk Specialists,Consult financial literature to ensure use of the latest models or statistical techniques.,,4,high,"AI can efficiently process and analyze large volumes of financial literature to identify and apply the latest models and techniques, with human oversight for validation."
21610,Financial Risk Specialists,Contribute to development of risk management systems.,,3,medium,"AI can automate data analysis and modeling in risk management systems, but human expertise is needed for judgment and handling complex exceptions."
21611,Financial Risk Specialists,Determine potential environmental impacts of new products or processes on long-term growth and profitability.,,3,medium,"AI can analyze data and model scenarios, but human expertise is needed for nuanced judgment and ethical considerations."
21612,Financial Risk Specialists,Develop contingency plans to deal with emergencies.,,3,medium,"AI can analyze data and suggest contingency plans, but human expertise is needed for judgment and handling exceptions."
21613,Financial Risk Specialists,Develop or implement risk-assessment models or methodologies.,,3,high,"AI can handle data analysis and model generation, but human expertise is needed for judgment and handling exceptions."
21614,Financial Risk Specialists,Devise scenario analyses reflecting possible severe market events.,,3,medium,"AI can generate scenario analyses using historical data and predictive models, but human expertise is needed for interpreting results and considering unprecedented factors."
21615,Financial Risk Specialists,Devise systems or processes to monitor validity of risk assessments.,,3,medium,"AI can handle routine data analysis and monitoring, but human expertise is needed for judgment and handling exceptions."
21616,Financial Risk Specialists,"Document, and ensure communication of, key risks.",,3,medium,"AI can automate the documentation and initial communication of key risks, but human oversight is needed for nuanced judgment and interpretation."
21617,Financial Risk Specialists,"Draw charts and graphs, using computer spreadsheets, to illustrate technical reports.",,5,high,AI in 2026 can fully automate the creation of charts and graphs from data using advanced spreadsheet and data visualization tools.
21618,Financial Risk Specialists,Evaluate and compare the relative quality of various securities in a given industry.,,3,medium,"AI can analyze large datasets and identify patterns in securities, but human expertise is needed for nuanced judgment and understanding of market context."
21619,Financial Risk Specialists,Evaluate the risks and benefits involved in implementing green building technologies.,,3,medium,"AI can analyze data and trends related to green building technologies, but human expertise is needed for nuanced judgment and ethical considerations."
21620,Financial Risk Specialists,"Evaluate the risks related to green investments, such as renewable energy company stocks.",,3,medium,"AI can analyze large datasets and identify patterns in green investments, but human expertise is needed for nuanced judgment and ethical considerations."
21621,Financial Risk Specialists,Gather risk-related data from internal or external resources.,,5,high,AI systems in 2026 are highly capable of autonomously gathering and processing large volumes of risk-related data from various sources.
21622,Financial Risk Specialists,"Identify key risks and mitigating factors of potential investments, such as asset types and values, legal and ownership structures, professional reputations, customer bases, or industry segments.",,3,medium,"AI can analyze large datasets and identify patterns in financial risks, but human expertise is still needed for nuanced judgment and understanding of complex, context-specific factors."
21623,Financial Risk Specialists,"Inform financial decisions by analyzing financial information to forecast business, industry, or economic conditions.",,3,medium,"AI can analyze large datasets and identify patterns, but human expertise is still needed for nuanced judgment and understanding of complex economic conditions."
21624,Financial Risk Specialists,"Interpret data on price, yield, stability, future investment-risk trends, economic influences, and other factors affecting investment programs.",,4,high,"AI systems in 2026 are highly capable of analyzing complex financial data and trends, though human oversight is still needed for nuanced judgment and ethical considerations."
21625,Financial Risk Specialists,Maintain input or data quality of risk management systems.,,4,high,"AI systems in 2026 are highly capable of maintaining data quality through advanced algorithms and automated checks, with humans primarily needed for oversight."
21626,Financial Risk Specialists,"Meet with clients to answer queries on subjects such as risk exposure, market scenarios, or values-at-risk calculations.",,3,medium,"AI can handle routine calculations and provide data-driven insights, but human specialists are needed for personalized advice and building client trust."
21627,Financial Risk Specialists,"Monitor developments in the fields of industrial technology, business, finance, and economic theory.",,3,medium,"AI can efficiently track and analyze data trends, but human expertise is needed for nuanced interpretation and strategic decision-making."
21628,Financial Risk Specialists,"Prepare plans of action for investment, using financial analyses.",,3,medium,"AI can handle routine data analysis and risk modeling, but human expertise is needed for judgment and adapting to complex, unpredictable market conditions."
21629,Financial Risk Specialists,"Produce reports or presentations that outline findings, explain risk positions, or recommend changes.",,3,medium,"AI can automate data analysis and initial report drafting, but human expertise is needed for nuanced interpretation and recommendations."
21630,Financial Risk Specialists,Provide statistical modeling advice to other departments.,,3,medium,"AI can handle routine statistical modeling tasks, but human expertise is needed for nuanced advice and interpretation."
21631,Financial Risk Specialists,"Recommend investments and investment timing to companies, investment firm staff, or the public.",,3,medium,"AI can analyze vast datasets and identify patterns for investment recommendations, but human expertise is still needed for nuanced judgment and understanding of complex market dynamics."
21632,Financial Risk Specialists,Recommend ways to control or reduce risk.,,3,medium,"AI can analyze data and identify patterns to suggest risk control measures, but human expertise is needed for nuanced judgment and decision-making."
21633,Financial Risk Specialists,Review or draft risk disclosures for offer documents.,,3,medium,"AI can handle routine analysis and drafting of risk disclosures, but human expertise is needed for nuanced judgment and regulatory compliance."
21634,Financial Risk Specialists,"Track, measure, or report on aspects of market risk for traded issues.",,4,high,"AI can efficiently analyze large datasets and identify market risk patterns, but human oversight is still needed for complex judgment calls and regulatory compliance."
7324,Financial Examiners,"Direct and participate in formal and informal meetings with bank directors, trustees, senior management, counsels, outside accountants, and consultants to gather information and discuss findings.",4.73,2,medium,"While AI can assist in data analysis and information gathering, the task requires interpersonal trust and nuanced communication that are challenging for AI to fully automate."
7317,Financial Examiners,"Recommend actions to ensure compliance with laws and regulations, or to protect solvency of institutions.",4.65,3,medium,"AI can handle routine compliance checks and data analysis, but human judgment is needed for complex regulatory interpretation and ethical considerations."
7319,Financial Examiners,"Prepare reports, exhibits, and other supporting schedules that detail an institution's safety and soundness, compliance with laws and regulations, and recommended solutions to questionable financial conditions.",4.45,3,medium,"AI can automate data analysis and report generation, but human expertise is needed for nuanced judgment and interpretation of complex financial regulations."
7327,Financial Examiners,"Resolve problems concerning the overall financial integrity of banking institutions including loan investment portfolios, capital, earnings, and specific or large troubled accounts.",4.24,3,medium,"AI can analyze financial data and identify potential issues, but human expertise is needed for judgment and handling complex exceptions."
7314,Financial Examiners,Investigate activities of institutions to enforce laws and regulations and to ensure legality of transactions and operations or financial solvency.,4.17,3,medium,"AI can handle routine data analysis and flag potential issues, but human judgment is needed for complex legal interpretations and ethical considerations."
7320,Financial Examiners,"Review balance sheets, operating income and expense accounts, and loan documentation to confirm institution assets and liabilities.",4.13,4,high,"AI systems in 2026 can efficiently analyze financial documents and detect discrepancies, but human oversight is still needed for complex judgment and regulatory compliance."
7316,Financial Examiners,"Plan, supervise, and review work of assigned subordinates.",4.13,2,medium,"While AI can assist with data analysis and routine supervision tasks, human oversight is crucial for ethical judgment and interpersonal trust in managing subordinates."
7321,Financial Examiners,Review audit reports of internal and external auditors to monitor adequacy of scope of reports or to discover specific weaknesses in internal routines.,4.04,3,medium,"AI can efficiently analyze audit reports for routine checks, but human expertise is needed for nuanced judgment and understanding complex financial contexts."
7318,Financial Examiners,"Examine the minutes of meetings of directors, stockholders, and committees to investigate the specific authority extended at various levels of management.",3.96,3,medium,"AI can analyze meeting minutes for routine patterns and discrepancies, but human judgment is needed for context and nuanced understanding of authority levels."
7322,Financial Examiners,Train other examiners in the financial examination process.,3.83,2,medium,"Training requires interpersonal skills and the ability to adapt to trainees' needs, which AI can assist with but not fully replicate."
7323,Financial Examiners,Establish guidelines for procedures and policies that comply with new and revised regulations and direct their implementation.,3.78,3,medium,"AI can assist in analyzing regulations and drafting guidelines, but human expertise is needed for judgment and ensuring compliance with nuanced legal and ethical standards."
7315,Financial Examiners,"Review and analyze new, proposed, or revised laws, regulations, policies, and procedures to interpret their meaning and determine their impact.",3.74,3,medium,"AI can assist in analyzing and interpreting legal texts, but human expertise is needed for nuanced understanding and judgment."
20190,Financial Examiners,Provide regulatory compliance training to employees.,3.59,2,medium,"While AI can assist in delivering standardized training content, human expertise is crucial for addressing specific regulatory nuances and fostering interpersonal trust."
7328,Financial Examiners,Evaluate data processing applications for institutions under examination to develop recommendations for coordinating existing systems with examination procedures.,3.5,4,high,"AI can efficiently process and analyze large datasets to evaluate data processing applications, but human oversight is still needed for nuanced judgment and regulatory compliance."
7326,Financial Examiners,"Review applications for mergers, acquisitions, establishment of new institutions, acceptance in Federal Reserve System, or registration of securities sales to determine their public interest value and conformance to regulations, and recommend acceptance or rejection.",3.5,3,medium,"AI can handle routine data analysis and compliance checks, but human judgment is needed for assessing public interest value and complex regulatory conformance."
7325,Financial Examiners,"Verify and inspect cash reserves, assigned collateral, and bank-owned securities to check internal control procedures.",3.24,4,high,"AI systems in 2026 are highly capable of analyzing financial data and verifying compliance with internal control procedures, though human oversight is still needed for complex judgment calls."
7329,Financial Examiners,"Confer with officials of real estate, securities, or financial institution industries to exchange views and discuss issues or pending cases.",2.94,2,medium,"The task requires interpersonal trust and nuanced understanding of complex financial issues, which AI can assist with but not fully automate."
7358,Tax Preparers,"Compute taxes owed or overpaid, using adding machines or personal computers, and complete entries on forms, following tax form instructions and tax tables.",4.75,5,high,AI systems in 2026 are fully capable of independently computing taxes and completing forms by following structured tax instructions and tables.
7360,Tax Preparers,"Use all appropriate adjustments, deductions, and credits to keep clients' taxes to a minimum.",4.71,4,high,"AI can efficiently analyze tax codes and optimize deductions and credits, but human oversight ensures compliance and handles complex exceptions."
7363,Tax Preparers,Furnish taxpayers with sufficient information and advice to ensure correct tax form completion.,4.57,3,medium,"AI can handle routine data analysis and form completion, but human oversight is needed for complex cases and personalized advice."
7361,Tax Preparers,Interview clients to obtain additional information on taxable income and deductible expenses and allowances.,4.57,3,medium,"AI can handle routine data collection and analysis, but human judgment is needed for nuanced client interactions and understanding complex personal circumstances."
7359,Tax Preparers,Prepare or assist in preparing simple to complex tax returns for individuals or small businesses.,4.5,4,high,"AI can handle most tax preparation tasks due to advancements in data processing and regulatory compliance, with humans primarily needed for oversight and handling unique cases."
7362,Tax Preparers,"Review financial records, such as income statements and documentation of expenditures to determine forms needed to prepare tax returns.",4.45,4,high,"AI systems in 2026 are highly capable of analyzing financial records and determining the necessary tax forms, with humans primarily needed for oversight and handling complex exceptions."
7366,Tax Preparers,"Check data input or verify totals on forms prepared by others to detect errors in arithmetic, data entry, or procedures.",4.37,5,high,AI systems in 2026 are highly capable of independently verifying arithmetic and data entry errors in tax forms due to advancements in natural language processing and data analysis.
20364,Tax Preparers,Explain federal and state tax laws to individuals and companies.,4.21,3,medium,"AI can provide detailed explanations of tax laws, but human expertise is needed for personalized advice and handling complex exceptions."
20363,Tax Preparers,Answer questions and provide future tax planning to clients.,4.2,3,medium,"AI can handle routine tax calculations and provide general advice, but human expertise is needed for personalized planning and addressing complex client-specific scenarios."
7364,Tax Preparers,Consult tax law handbooks or bulletins to determine procedures for preparation of atypical returns.,4.2,3,medium,"AI can efficiently analyze tax law documents and suggest procedures, but human expertise is needed for nuanced interpretation and handling exceptions."
7365,Tax Preparers,Calculate form preparation fees according to return complexity and processing time required.,4.05,5,high,"AI can accurately calculate form preparation fees based on predefined criteria such as return complexity and processing time, which are structured and quantifiable tasks."
21165,Tax Preparers,Schedule appointments with clients.,3.75,5,high,AI can independently handle scheduling tasks using natural language processing and calendar integration.
2487,"Bookkeeping, Accounting, and Auditing Clerks","Operate computers programmed with accounting software to record, store, and analyze information.",4.76,5,high,"AI systems in 2026 are fully capable of independently operating accounting software to record, store, and analyze financial information with high accuracy and efficiency."
2486,"Bookkeeping, Accounting, and Auditing Clerks","Check figures, postings, and documents for correct entry, mathematical accuracy, and proper codes.",4.68,5,high,AI systems in 2026 are highly capable of independently verifying numerical data and ensuring accuracy in bookkeeping tasks.
2488,"Bookkeeping, Accounting, and Auditing Clerks","Comply with federal, state, and company policies, procedures, and regulations.",4.57,4,high,"AI systems in 2026 are highly capable of processing and ensuring compliance with complex regulatory frameworks, though human oversight is still needed for nuanced judgment and exceptions."
2495,"Bookkeeping, Accounting, and Auditing Clerks","Operate 10-key calculators, typewriters, and copy machines to perform calculations and produce documents.",4.47,5,high,"AI and automation technologies have advanced to the point where they can independently perform calculations and document production tasks using digital tools, rendering manual operation of calculators, typewriters, and copy machines obsolete."
2500,"Bookkeeping, Accounting, and Auditing Clerks","Receive, record, and bank cash, checks, and vouchers.",4.46,5,high,"AI systems in 2026 can fully automate the receipt, recording, and banking of cash, checks, and vouchers through advanced data processing and integration with financial systems."
2493,"Bookkeeping, Accounting, and Auditing Clerks",Code documents according to company procedures.,4.32,4,high,"AI systems in 2026 are highly capable of coding documents according to predefined company procedures, with humans primarily needed for oversight."
2497,"Bookkeeping, Accounting, and Auditing Clerks","Perform financial calculations, such as amounts due, interest charges, balances, discounts, equity, and principal.",4.32,5,high,AI systems in 2026 are highly capable of performing financial calculations accurately and efficiently without human intervention.
2496,"Bookkeeping, Accounting, and Auditing Clerks",Reconcile or note and report discrepancies found in records.,4.29,4,high,"AI systems in 2026 are highly capable of identifying and reconciling discrepancies in financial records, with human oversight primarily needed for exceptional cases."
2498,"Bookkeeping, Accounting, and Auditing Clerks","Perform general office duties, such as filing, answering telephones, and handling routine correspondence.",4.24,4,high,"AI systems in 2026 are highly capable of handling routine office tasks such as filing, answering telephones, and managing correspondence with minimal human intervention."
2494,"Bookkeeping, Accounting, and Auditing Clerks",Access computerized financial information to answer general questions as well as those related to specific accounts.,4.19,5,high,AI systems in 2026 are capable of independently accessing and interpreting computerized financial information to answer both general and specific account-related questions.
2490,"Bookkeeping, Accounting, and Auditing Clerks","Classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers.",4.17,5,high,"AI systems in 2026 are highly capable of independently classifying, recording, and summarizing financial data due to advancements in natural language processing and machine learning."
2489,"Bookkeeping, Accounting, and Auditing Clerks","Debit, credit, and total accounts on computer spreadsheets and databases, using specialized accounting software.",4.15,5,high,"AI systems in 2026 are fully capable of independently handling routine bookkeeping tasks such as debiting, crediting, and totaling accounts using specialized accounting software."
2509,"Bookkeeping, Accounting, and Auditing Clerks","Match order forms with invoices, and record the necessary information.",4.12,5,high,AI systems in 2026 are highly capable of independently matching order forms with invoices and recording information due to advancements in natural language processing and data extraction technologies.
18561,"Bookkeeping, Accounting, and Auditing Clerks",Prepare and process payroll information.,4.71,4,high,"AI systems in 2026 can efficiently handle payroll processing with minimal human intervention, requiring human oversight primarily for exceptions and compliance."
2499,"Bookkeeping, Accounting, and Auditing Clerks","Prepare bank deposits by compiling data from cashiers, verifying and balancing receipts, and sending cash, checks, or other forms of payment to banks.",4.61,5,high,"AI systems in 2026 can fully automate the preparation of bank deposits by efficiently compiling, verifying, and balancing financial data with high accuracy."
2501,"Bookkeeping, Accounting, and Auditing Clerks","Calculate and prepare checks for utilities, taxes, and other payments.",4.44,5,high,AI systems in 2026 are capable of independently handling routine financial calculations and payment preparations with high accuracy and efficiency.
2505,"Bookkeeping, Accounting, and Auditing Clerks",Monitor status of loans and accounts to ensure that payments are up to date.,4.4,5,high,"AI systems in 2026 can fully automate the monitoring of loans and accounts, ensuring payments are up to date through advanced data processing and real-time analytics."
2503,"Bookkeeping, Accounting, and Auditing Clerks",Reconcile records of bank transactions.,4.38,5,high,AI systems in 2026 are highly capable of independently reconciling bank transaction records due to advanced data processing and pattern recognition capabilities.
2507,"Bookkeeping, Accounting, and Auditing Clerks","Compile budget data and documents, based on estimated revenues and expenses and previous budgets.",4.33,4,high,"AI can efficiently compile budget data using historical data and predictive analytics, with human oversight for final validation."
2502,"Bookkeeping, Accounting, and Auditing Clerks",Compare computer printouts to manually maintained journals to determine if they match.,4.23,5,high,AI systems in 2026 are fully capable of independently comparing digital and manual records for discrepancies with high accuracy.
2506,"Bookkeeping, Accounting, and Auditing Clerks",Transfer details from separate journals to general ledgers or data processing sheets.,4.2,5,high,AI systems in 2026 are fully capable of independently transferring data from journals to ledgers with high accuracy and efficiency.
2510,"Bookkeeping, Accounting, and Auditing Clerks","Complete and submit tax forms and returns, workers' compensation forms, pension contribution forms, and other government documents.",4.17,4,high,"AI systems in 2026 are highly capable of handling structured data and regulatory compliance tasks, allowing them to complete most of the work involved in preparing and submitting standardized government forms, with humans primarily needed for oversight."
2491,"Bookkeeping, Accounting, and Auditing Clerks","Calculate, prepare, and issue bills, invoices, account statements, and other financial statements according to established procedures.",4.16,5,high,AI systems in 2026 are capable of independently handling routine financial calculations and document preparation with high accuracy and efficiency.
2508,"Bookkeeping, Accounting, and Auditing Clerks","Calculate costs of materials, overhead, and other expenses, based on estimates, quotations and price lists.",4.14,5,high,"AI systems in 2026 are capable of independently processing and analyzing financial data to calculate costs using estimates, quotations, and price lists with high accuracy."
2514,"Bookkeeping, Accounting, and Auditing Clerks",Prepare purchase orders and expense reports.,4.11,5,high,AI systems in 2026 are capable of independently handling the structured and rule-based nature of preparing purchase orders and expense reports.
2504,"Bookkeeping, Accounting, and Auditing Clerks",Prepare trial balances of books.,4.08,5,high,AI systems in 2026 are capable of independently preparing trial balances by processing financial data with high accuracy and consistency.
2492,"Bookkeeping, Accounting, and Auditing Clerks","Compile statistical, financial, accounting, or auditing reports and tables pertaining to such matters as cash receipts, expenditures, accounts payable and receivable, and profits and losses.",3.97,4,high,AI systems in 2026 are highly capable of compiling financial reports and tables due to advancements in data processing and natural language generation.
2511,"Bookkeeping, Accounting, and Auditing Clerks",Maintain inventory records.,3.57,5,high,AI systems in 2026 can fully automate inventory record maintenance through advanced data processing and integration capabilities.
