Task ID,Occupation,Task,importance,claude_score,claude_confidence,claude_reasoning
2503,"Bookkeeping, Accounting, and Auditing Clerks",Reconcile records of bank transactions.,4.38,4,high,bank_transaction_reconciliation
2507,"Bookkeeping, Accounting, and Auditing Clerks","Compile budget data and documents, based on estimated revenues and expenses and previous budgets.",4.33,4,high,budget_data_compilation
2502,"Bookkeeping, Accounting, and Auditing Clerks",Compare computer printouts to manually maintained journals to determine if they match.,4.23,4,high,printout_journal_comparison
2506,"Bookkeeping, Accounting, and Auditing Clerks",Transfer details from separate journals to general ledgers or data processing sheets.,4.2,5,high,journal_ledger_transfer
2510,"Bookkeeping, Accounting, and Auditing Clerks","Complete and submit tax forms and returns, workers' compensation forms, pension contribution forms, and other government documents.",4.17,4,high,tax_form_completion
2491,"Bookkeeping, Accounting, and Auditing Clerks","Calculate, prepare, and issue bills, invoices, account statements, and other financial statements according to established procedures.",4.16,4,high,billing_invoice_preparation
2508,"Bookkeeping, Accounting, and Auditing Clerks","Calculate costs of materials, overhead, and other expenses, based on estimates, quotations and price lists.",4.14,4,high,materials_cost_calculation
2514,"Bookkeeping, Accounting, and Auditing Clerks",Prepare purchase orders and expense reports.,4.11,4,high,purchase_order_prep
2504,"Bookkeeping, Accounting, and Auditing Clerks",Prepare trial balances of books.,4.08,4,high,trial_balance_prep
2492,"Bookkeeping, Accounting, and Auditing Clerks","Compile statistical, financial, accounting, or auditing reports and tables pertaining to such matters as cash receipts, expenditures, accounts payable and receivable, and profits and losses.",3.97,4,high,statistical_report_compilation
2511,"Bookkeeping, Accounting, and Auditing Clerks",Maintain inventory records.,3.57,4,high,inventory_record_maintenance
